backbone,backbone_label,variant,stratum_order,stratum,stratum_label,count,share,n_seeds,qty_mae_mean,qty_mae_std,qty_rmse_mean,qty_rmse_std,qty_bias_mean,qty_bias_std
thp,Adapted THP,log_regression,-1,all,All validation,8268,1.0,3,44.16925712948921,6.353555765379039,151.1555693888264,8.24277254445564,12.959703695104116,19.81131356304521
thp,Adapted THP,log_regression,0,le_p50,<= 7,4364,0.5278180938558297,3,2.6644905228207607,1.0169734467482088,13.002626292340103,8.613309968563932,1.4993287874604815,1.3337513118524855
thp,Adapted THP,log_regression,1,p50_p90,"(7, 686]",3138,0.3795355587808418,3,36.01148129578277,1.9745402855932817,90.97291941373264,1.623705093257763,22.633987865859293,3.4902396896033485
thp,Adapted THP,log_regression,2,p90_p95,"(686, 1562]",386,0.04668601838413159,3,222.30118983767812,67.48448775847257,306.32324414531945,73.24891398911168,108.16806067168609,143.82973720172717
thp,Adapted THP,log_regression,3,p95_p99,"(1562, 3449]",301,0.03640541848089018,3,319.9898299748451,146.05594833344102,406.9730808799205,128.93920270299907,135.06874376806044,268.5110096278212
thp,Adapted THP,log_regression,4,gt_p99,> 3449,79,0.009554910498306726,3,739.6753784694752,237.39212924140787,932.5859030671444,232.79690018887027,-668.6868087832938,360.331879325631
titantpp,TitanTPP,log_regression,-1,all,All validation,8268,1.0,3,40.20018666119484,3.2955042116578794,137.5256803482551,13.65124615672246,10.508508270872236,28.491217753945097
titantpp,TitanTPP,log_regression,0,le_p50,<= 7,4364,0.5278180938558297,3,1.7318948126425628,0.25690242940899577,5.093381387347688,1.4737735818684956,0.8796451931020881,0.44382877319979114
titantpp,TitanTPP,log_regression,1,p50_p90,"(7, 686]",3138,0.3795355587808418,3,27.245746689400452,2.341668756932543,63.44739067487506,12.618827068769843,11.817263657445991,4.625290858863826
titantpp,TitanTPP,log_regression,2,p90_p95,"(686, 1562]",386,0.04668601838413159,3,184.16067768419757,36.38138432574957,256.93712841392244,58.39479217459212,60.40056292545405,129.96510417113794
titantpp,TitanTPP,log_regression,3,p95_p99,"(1562, 3449]",301,0.03640541848089018,3,401.49004782236295,61.267139920009924,488.1883427704163,57.03799985504744,132.36635206862545,401.04853985270574
titantpp,TitanTPP,log_regression,4,gt_p99,> 3449,79,0.009554910498306726,3,599.8161425369199,362.20971815272634,696.9269727511851,369.6709099425999,-217.6441501021888,698.6728220310439
